year,month,day,hour,PD,SASBP,CPS,SASK,SPUPS,SPLPS,TPS,SM
2016,1,6,20,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,21,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,22,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,23,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,6,24,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,1,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,2,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,3,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,4,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,5,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,6,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,7,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,8,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,9,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,10,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,11,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,12,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,13,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,14,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,15,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,16,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,17,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,18,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,19,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,20,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,21,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,22,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,23,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,7,24,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,1,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,2,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,3,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,4,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,5,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,6,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,7,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,8,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,9,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,10,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,11,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,12,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,13,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,14,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,15,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,16,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,17,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,18,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,19,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,20,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,21,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,22,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,23,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,8,24,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,1,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,2,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,3,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,4,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,5,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,6,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,7,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,8,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,9,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,10,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,11,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,12,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,13,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,14,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,15,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,16,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,17,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,18,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,19,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,20,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,21,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,22,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,23,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,9,24,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,10,1,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,10,2,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,10,3,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,10,4,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,10,5,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,10,6,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,10,7,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,10,8,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,10,9,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,10,10,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,10,11,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,10,12,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,10,13,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,10,14,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,10,15,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,10,16,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,10,17,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,10,18,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,10,19,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
2016,1,10,20,32.39566865,3.669009861,2.063818047,6.115016434,53.56754396,111.4461745,2128.025719,21.3794633
