,name,unit_type,fuel_type
339,KhonKaenSugarPower1,biomass_st,biomass
340,NamPhong1Sc1,wsth_st,wsth
341,Maemohu4,coal_st,coal
342,Maemohu5,coal_st,coal
343,Maemohu6,coal_st,coal
344,Maemohu7,coal_st,coal
345,Maemohu10,coal_st,coal
346,Maemohu11,coal_st,coal
347,Maemohu12,coal_st,coal
348,Maemohu13,coal_st,coal
349,Maemohu8,coal_st,coal
350,Maemohu9,coal_st,coal
351,BuaYai1,biomass_st,biomass
352,Namphong2U1,gas_cc,gas
353,PrachinBuriMill2,biomass_st,biomass
354,PrachinBuriIpc1,coal_st,coal
355,ThaTum1,coal_st,coal
356,NongSaeng2Sc0,wsth_st,wsth
357,NongSaeng2Sc1,wsth_st,wsth
358,Uwckomen,biomass_st,biomass
359,Baanrai,biomass_st,biomass
360,Bangmunnak,biomass_st,biomass
361,Mitrbiopower,biomass_st,biomass
362,Panomsarakhammill,biomass_st,biomass
363,KrungThaiMill1,biomass_st,biomass
364,BuriramSugar2,biomass_st,biomass
365,Ponthong1,biomass_st,biomass
366,KalasinMill1,biomass_st,biomass
367,RoiEtMill1,biomass_st,biomass
368,MukdahanSaharuang2,biomass_st,biomass
369,MitrBiopowerChaiyaphum2,biomass_st,biomass
370,MitrBiopowerChaiyaphum3,biomass_st,biomass
371,Lamphun1,biomass_st,biomass
372,MweMaewongEnergy1,biomass_st,biomass
373,ThaLuangSugarFactory4,biomass_st,biomass
374,MungcharoenBiomass1,biomass_st,biomass
375,KumphawapiSugarMill2,biomass_st,biomass
376,SriChiangMai1,biomass_st,biomass
377,Sumrong1,biomass_st,biomass
378,YalaGreen1,biomass_st,biomass
379,KamphaengphetMill2,biomass_st,biomass
