source,sink,source_kv,sink_kv,stability_limit,thermal_limit,line_capacity,max_kv,reactance_per_km,reactance_pu,susceptance
NavaNakhon,Rangsit,230,230,42609,1689,1689,230,0.3648,4.7424,11154
NikomMapTaPhut,PluakDaeng,500,500,36676,6962,6962,500,0.2326,13.0256,19192
NongBuaLamPhu,Loei,115,115,1350,633,633,115,0.3648,28.0896,470
NongChok,OnNuch,500,500,32097,6962,6962,500,0.2326,14.8864,16793
NongChok,PluakDaeng,500,500,15484,6962,6962,500,0.2326,30.9358,8081
NongKhai,UdonThani1,115,115,1822,211,211,115,0.3648,6.9312000000000005,1908
NorthBangkok,Chatuchak,230,230,27695,844,844,230,0.3648,3.648,14501
OnNuch,BangKapi,230,230,25179,1689,1689,230,0.3648,8.0256,6591
PakMunDam,UbonRatchathani2,115,115,1505,422,422,115,0.3648,16.7808,788
Paksan,BuengKan,115,115,805,211,211,115,0.3648,15.6864,843
Paksong,Ubon2,115,115,393,211,211,115,0.3648,32.175360000000005,411
Paktang,Phontong,115,115,2583,211,211,115,0.3648,4.88832,2705
Pangnga2,Phuket3,115,115,1099,422,422,115,0.3648,22.982400000000002,575
Pattani,Yala,115,115,1116,211,211,115,0.3648,11.3088,1169
Phachi2,ChomBueng,500,500,5612,3481,3481,500,0.2326,42.7984,5841
Phachi2,NongChok,500,500,32097,6962,6962,500,0.2326,14.8864,16793
Phachi2,SaiNoi,500,500,14268,3481,3481,500,0.2326,16.7472,14927
Phangnga2,Phuket3,230,230,5228,844,844,230,0.3648,19.334400000000002,2736
PhanThong,AoPhai,230,230,6925,844,844,230,0.3648,14.592,3625
PhanThong,ChonBuri,230,230,9892,844,844,230,0.3648,10.214400000000001,5178
Phatthalung,HatYai1,115,115,412,211,211,115,0.3648,30.6432,431
Phatthalung,HatYai2,230,230,2830,844,844,230,0.3648,35.7504,1479
Phayao,Chiangrai,115,115,450,211,211,115,0.3648,28.0896,470
Phetchabun,LomSak,115,115,692,211,211,115,0.3648,18.240000000000002,725
Phetchaburi,ChaAm,115,115,935,211,211,115,0.3648,13.4976,979
Phetchaburi,Ratchaburi2,115,115,1775,422,422,115,0.3648,14.2272,929
Phichit,AkaraMining,115,115,679,211,211,115,0.3648,18.6048,710
Phitsanulok1,LanKrabu,115,115,887,211,211,115,0.3648,14.2272,929
Phitsanulok1,Phichit,115,115,865,211,211,115,0.3648,14.592,906
Phitsanulok1,Phitsanulok2,115,115,1082,211,211,115,0.3648,11.6736,1132
Phitsanulok2,MaeMoh4,230,230,2043,844,844,230,0.3648,49.6128,1066
Phitsanulok2,NakhonSawan,230,230,2013,844,844,230,0.3648,50.342400000000005,1050
PhoneSoung,Nasaithong,115,115,1293,211,211,115,0.3648,9.76555008,1354
