kirirom,kamchay,atay
64016,2115458,2782171
61779,2326533.5,3035586
56463,2299432,2960319
50707,2180525,2756811
46337,2012919,2521617
44928,1872494.5,2332087
44447,1734641,2210992
44018.5,1596144.5,2095380
43613.5,1431913,2018415
43204,1301059.5,1927230
42799.5,1176226,1839174
42515,1341179,1770247
54031.5,1765875,1803403
51021,1835539.5,1822558
45576,1705021.5,1771697
42843,1542413.5,1727754
42210.5,1457451.5,1691444
41876,1394238.5,1661530
41659,1302527,1647011
41327.5,1181469,1630019
40975.5,1064832.5,1594454
40626,970029,1559406
40280.5,882261,1536620
39937.5,832139.5,1519968
39605.5,778484.5,1506836
40230,785394,1571492
39561,838951.5,1627664
39142,818324,1592904
38821,757921.5,1531788
38504,681883,1483235
38188.5,744901.5,1457499
37893,662052,1441052
32227,612653,1428786
