kirirom,kamchay,atay
29285,594888,851939
30669,622067,891105
30171,644164,932229
32159,621541,1006095
30361,606462,962840
31968,577850,951905
30755,566816,916318
29877,538001,884884
29456,510425,847363
27756,485408,805464
25389,458283,758924
23707,431384,709148
21529,431203,669615
27084,457772,755316
27464,476522,764543
31017,524019,785388
33328,578574,822899
34669,624308,876246
36088,700551,975205
39042,699426,1127329
37999,650570,1093556
35154,592514,1020434
32591,544911,1054207
49781,769408,1381199
76785,974313,1806114
81308,1031327,2052633
73587,943343,1935106
69803,886234,1794368
70614,1028963,1765106
83976,1029211,1906530
84417,997923,2120097
81680,915908,2064425
75141,831185,1899786
70491,746690,1713443
63780,679482,1576487
59832,612873,1456646
54599,566447,1335063
49160,519616,1198828
45873,477737,1130774
43708,457728,1101000
42396,433100,1073011
41326,417174,1012955
40945,401465,1007087
42360,373393,1004827
39920,348910,934321
39942,338596,924784
40019,329445,913831
38554,318513,857765
42705,324336,875725
41610,331383,881995
40502,333401,886492
43125,346405,895166
42794,362363,919212
41615,358608,921434
38299,348327,873561
34745,338881,821977
31685,335762,777283
30460,321581,756463
27995,313915,740573
26361,305234,718736
29812,316905,736397
28337,352199,771069
30935,414722,851999
34833,405074,976482
34700,396804,1030344
36308,487718,1044675
37292,554205,1055068
43100,574793,1183426
43462,619801,1270466
44795,654802,1393879
44292,667813,1437568
47922,645699,1480770
47323,629246,1534121
49729,647161,1587820
58075,705679,1689979
57223,818566,1685288
60255,851122,1762846
59335,817310,1719224
55141,732783,1590367
49782,661374,1445846
44766,592382,1328748
44226,562087,1265546
40798,537802,1173686
37563,492607,1101618
37173,474243,1055367
36749,498261,1026614
42814,514994,1127483
47045,522424,1309195
44052,507210,1395248
41033,475675,1334003
41482,449994,1323359
45095,441308,1334623
47907,467801,1266365
44207,480965,1177445
43089,470340,1141114
44224,458617,1127324
42008,481320,1151050
51933,574080,1211832
60827,623046,1252591
61122,612848,1249338
57421,579800,1164785
51666,539174,1074489
48104,511842,989819
44065,494503,915676
41240,471293,899433
39080,445324,865300
38990,441240,846765
38789,481285,890380
35422,510131,876820
35611,495333,905062
34800,508883,932047
40576,536203,970234
42960,543692,991089
41464,519737,955013
38988,499830,947125
37384,491749,915708
39920,494362,945265
38465,523366,1002718
59829,679635,1146274
89992,894341,1561115
90417,985782,1662728
87618,957560,1692566
82296,924083,1610518
80332,924905,1498603
87960,908723,1598422
82228,849750,1505123
79038,810246,1474955
74568,792567,1416236
74101,836370,1393260
72578,835307,1343016
69623,783270,1259272
65362,732958,1283251
61713,687827,1256089
57075,688324,1224246
60286,745012,1308462
57921,862664,1238731
57541,918732,1263955
56212,1133547,1248094
53262,1078189,1141426
48744,971587,1075450
43637,850692,968726
39731,769026,878816
36251,689058,791384
32925,618122,712883
29638,559746,642616
26658,504644,578051
23976,452704,521155
21562,405393,469694
19391,367180,426235
18175,339768,406890
16420,316962,376081
14765,289277,341194
13271,323482,310834
12424,323394,284367
11288,306488,260925
10205,289184,237682
9177,265955,214976
8445,244360,205285
7609,224715,190960
6828,209062,172659
6134,200756,156055
5892,195986,144143
6402,211546,139109
6178,232653,151779
5646,229943,148016
5071,218053,137841
4634,201292,126081
4493,187249,116604
4445,173464,110550
4402,159614,104769
4361,143191,100921
4320,130106,96362
4280,117623,91959
4252,134118,88512
5403,176588,90170
5102,183554,91128
4558,170502,88585
4284,154241,86388
4221,145745,84572
4188,139424,83077
4166,130253,82351
4133,118147,81501
4098,106483,79723
4063,97003,77970
4028,88226,76831
3994,83214,75998
3961,77848,75342
4023,78539,78575
3956,83895,81383
3914,81832,79645
3882,75792,76589
3850,68188,74162
3819,74490,72875
3789,66205,72053
3223,61265,71439
