source,sink,susceptance,line_cap,source_kv,sink_kv,n_circuits,distance,n_conductors
ChonBuri3,ChonBuri,0.122,1000,115,115,2,25,2
ChonBuri,AoPhai,0.081,1700,230,230,2,35,2
ChonBuri,BangPhli,0.081,3400,230,230,4,35,2
ChonBuri,NongChok,0.081,3400,230,230,4,35,2
ChonBuri,PrachinBuri2,0.028,1700,230,230,2,101,2
ChonBuri,Rangsit,0.031,3400,230,230,2,92,2
ChulabhornDam,ChumPhae,0.042,850,115,115,1,66,1
Chumphon,SuratThani,0.017,1700,230,230,2,166,2
Donkoi,Thanaleng,0.166,850,115,115,1,16.9,1
GhecoOne,Rayong1,0.094,1700,230,230,2,30,2
GulfJPNS,Phachi2,0.039,3400,500,500,2,64,2
GulfJPUT,BangPaIn1,0.282,1700,230,230,2,10,2
HangChat,Lampang2,0.204,1000,115,115,2,15,2
HatYai1,HatYai2,0.215,850,115,115,1,13,1
HatYai1,Sadao,0.082,850,115,115,1,34,1
HatYai1,Satun,0.045,850,115,115,1,62,1
HatYai2,KhlongNgae,0.113,1700,230,230,2,25,2
HatYai2,Pattani,0.034,1000,115,115,2,89,2
HatYai2,Songkhla,0.095,1000,115,115,2,32,2
HongsaLignite,Nan1,0.016,3400,500,500,2,155,2
UbonRatchathani2,Ubon2,0.012,800,230,230,2,230,2
HouayHo,UbonRatchathani2,0.049,1700,230,230,2,57,2
HuaHin,PrachuapKhiriKhan,0.035,1700,230,230,2,81,2
HuaHin,PranBuri,0.156,850,115,115,1,18,1
HuaWat,BuengSamPhan,0.035,850,115,115,1,81,1
HuaWat,ChaiBadan,0.045,1000,115,115,2,68,2
KaengKhoi2,KaengKhoi,0.148,1700,230,230,2,19,2
KaengKhoi2,Saraburi2,0.176,1700,230,230,2,16,2
KaengKhoi,Saraburi1,0.083,1000,115,115,2,37,2
KaengKhoi,Saraburi2,0.095,1000,115,115,2,32,2
KaengKhoi,Saraburi4,0.111,1200,115,115,3,28,2
KaengKhoi,Thalan2,0.067,850,115,115,1,42,1
KaengKhoi,Thalan3,0.148,1700,115,115,1,37,1
KaengKrachanDam,ChaAm,0.052,850,115,115,1,54,1
Kalasin,KhonKaen2,0.052,1000,115,115,2,59,2
Kanchanaburi,Kanchanaburi2,0.191,1000,115,115,2,16,2
Kanchanaburi,ThaMuang,0.127,850,115,115,1,22,1
Khanom,NakhonSiThammarat,0.039,1700,230,230,2,73,2
Khanom,SuratThani,0.04,1700,230,230,2,70,2
KhlongNgae,GurunMalaysia,0.028,1700,230,230,2,101,2
KhlongNgae,Yala2,0.028,1700,230,230,2,99,2
Khong,BanPhai,0.024,850,115,115,1,117,1
KhonKaen1,BanPhai,0.052,850,115,115,1,54,1
KhonKaen1,ChumPhae,0.048,850,115,115,1,58,1
KhonKaen1,Khong,0.021,850,115,115,1,136,1
KhonKaen1,KhonKaen2,0.122,1000,115,115,2,25,2
KhonKaen1,MahaSarakham,0.032,1000,115,115,2,94,2
KhonKaen1,NamPhong1,0.061,1000,115,115,2,50,2
KhonKaen1,Phon,0.035,850,115,115,1,79,1
KhonKaen3,Chaiyaphum1,0.031,1700,230,230,2,91,2
KhonKaen3,KhonKaen1,0.141,1700,230,230,2,20,2
KiridharnDam,Chanthaburi,0.097,850,115,115,1,29,1
Krabi,LamPooRa,0.046,850,115,115,1,61,1
Krabi,Phangnga2,0.037,1700,230,230,2,77,2
Krabi,ThungSong,0.044,1700,230,230,2,64,2
Lampang1,Thoeng,0.047,850,115,115,1,60,1
Lamphun2,ChiangMai2,0.073,1000,115,115,2,42,2
Lamphun2,ChomThong,0.035,850,115,115,1,81,1
Lamphun2,HangChat,0.083,1000,115,115,2,37,2
LamPooRa,Phatthalung,0.057,850,115,115,1,49,1
LamPooRa,ThungSong,0.073,1000,115,115,2,42,2
LamTakhongJVDam,NakhonRatchasima2,0.032,1700,230,230,2,89,2
LamTakhongJVDam,Saraburi2,0.038,1700,230,230,2,75,2
LangSuan,Ranong,0.068,1000,115,115,2,45,2
LangSuan,SuratThani,0.027,1700,230,230,2,105,2
LanKrabu,Kamphaengphet,0.076,1000,115,115,2,40,2
LanKrabu,Phitsanulok2,0.06,850,115,115,1,47,1
LatPhrao,Chatuchak,0.128,1050,230,230,1,22,2
LomSak,KhonKaen3,0.017,1700,230,230,2,163,2
LomSak,Phitsanulok2,0.029,1700,230,230,2,96,2
LopBuri2,AngThong2,0.047,1000,115,115,2,65,2
LopBuri2,ChaiBadan,0.085,1000,115,115,2,36,2
MaeMoh3,ChiangMai3,0.013,1700,230,230,2,210,2
MaeMoh3,Chiangrai,0.016,1700,230,230,2,180,2
MaeMoh3,Lampang1,0.052,850,115,115,1,54,1
MaeMoh3,Lampang2,0.068,1000,115,115,2,45,2
MaeMoh3,MaeMoh4,0.256,1700,230,230,2,11,2
MaeMoh3,Nan1,0.023,3400,500,500,2,106,2
MaeMoh3,Phayao,0.028,1000,115,115,2,108,2
MaeMoh3,ThaTako,0.008,3400,500,500,2,301,2
MaeMoh4,Lamphun2,0.017,1700,230,230,2,165,2
MahaSarakham,RoiEt,0.039,1000,115,115,2,78,2
Manorom,ChaiNat,0.082,850,115,115,1,34,1
Manorom,NakhonSawan,0.065,1000,115,115,2,47,2
Manorom,Takhli2,0.057,850,115,115,1,49,1
MitrBiopower,Loei,0.061,850,115,115,1,46,1
Mukdahan,AmnatCharoen,0.038,850,115,115,1,74,1
Mukdahan,Pakbo,0.204,850,115,115,1,13.7,1
Nabong,UdonThani3,0.026,3400,500,500,2,97,2
NakhonChaisi,SamPhran2,0.217,1700,230,230,2,13,2
NakhonPathom,NakhonChaisi,0.217,1700,230,230,2,13,2
NakhonPhanom2,SakonNakhon2,0.088,1700,230,230,2,32,2
NakhonPhanom,NakhonPhanom2,0.108,1700,230,230,2,26,2
NakhonPhanom,SakonNakhon,0.073,850,230,230,1,38.5,2
NakhonPhanom,ThatPhanom,0.087,1000,115,115,2,35,2
NakhonRatchasima1,BuriRam,0.031,850,115,115,1,89,1
NakhonRatchasima1,Khong,0.047,850,115,115,1,59,1
NakhonRatchasima1,Phon,0.033,850,115,115,1,85,1
NakhonRatchasima2,BuriRam,0.035,1000,115,115,2,88,2
NakhonRatchasima2,Chaiyaphum1,0.032,1700,230,230,2,87,2
NakhonRatchasima2,Khong,0.038,850,115,115,1,73,1
NakhonRatchasima2,NakhonRatchasima1,0.109,1000,115,115,2,28,2
NakhonRatchasima2,PakChong,0.034,850,115,115,1,82,1
NakhonRatchasima2,SiKhiu,0.052,850,115,115,1,54,1
NakhonSawan,ThaTako,0.055,1700,230,230,2,51,2
NakhonSiThammarat,Phatthalung,0.031,1700,230,230,2,91,2
NakhonSiThammarat,Ranot,0.031,1000,115,115,2,97,2
NamLeuk,Paksan,0.041,850,115,115,1,69,1
NamMang3,Nabong,0.065,1000,115,115,2,46.6,2
NamNgum1,NamLeuk,0.038,850,115,115,1,73,1
NamNgum1,Nasaithong,0.054,1000,115,115,2,56.3,2
NamNgum1,Thalath,0.154,1000,115,115,2,19.8,2
NamNgum2,Nabong,0.049,1700,230,230,2,57,2
NamPhong2,KhonKaen3,0.052,1700,230,230,2,54,2
NamPhong2,NamPhong1,0.191,1000,115,115,2,16,2
NamTheun2,RoiEt2,0.011,3400,500,500,2,221.6,2
Nan1,Phrae,0.025,850,115,115,1,114,1
Narathiwat,SungaiKolok,0.053,850,115,115,1,53,1
Nasaithong,Paktang,0.217,850,115,115,1,12.9,1
Nasaithong,Phontong,0.166,1200,115,115,3,18.4,2
NavaNakhon,Rangsit,0.217,3400,230,230,4,13,2
NikomMapTaPhut,PluakDaeng,0.044,3400,500,500,2,56,2
NongBuaLamPhu,Loei,0.041,1200,115,115,3,77,2
NongChok,OnNuch,0.039,3400,500,500,2,64,2
NongChok,PluakDaeng,0.019,3400,500,500,2,133,2
NongKhai,UdonThani1,0.147,850,115,115,1,19,1
NorthBangkok,Chatuchak,0.282,1700,230,230,2,10,2
OnNuch,BangKapi,0.128,3400,230,230,4,22,2
PakMunDam,UbonRatchathani2,0.066,1000,115,115,2,46,2
Paksan,BuengKan,0.065,850,115,115,1,43,1
Paksong,Ubon2,0.032,850,115,115,1,88.2,1
Paktang,Phontong,0.208,850,115,115,1,13.4,1
Pangnga2,Phuket3,0.048,1000,115,115,2,63,2
Pattani,Yala,0.09,850,115,115,1,31,1
Phachi2,ChomBueng,0.013,1700,500,500,1,184,2
Phachi2,NongChok,0.039,3400,500,500,2,64,2
Phachi2,SaiNoi,0.034,1700,500,500,1,72,2
Phangnga2,Phuket3,0.053,1700,230,230,2,53,2
PhanThong,AoPhai,0.07,1700,230,230,2,40,2
PhanThong,ChonBuri,0.101,1700,230,230,2,28,2
Phatthalung,HatYai1,0.033,850,115,115,1,84,1
Phatthalung,HatYai2,0.029,1700,230,230,2,98,2
Phayao,Chiangrai,0.036,850,115,115,1,77,1
Phetchabun,LomSak,0.056,850,115,115,1,50,1
Phetchaburi,ChaAm,0.076,850,115,115,1,37,1
Phetchaburi,Ratchaburi2,0.078,1000,115,115,2,39,2
Phichit,AkaraMining,0.055,850,115,115,1,51,1
Phitsanulok1,LanKrabu,0.072,850,115,115,1,39,1
Phitsanulok1,Phichit,0.07,850,115,115,1,40,1
Phitsanulok1,Phitsanulok2,0.088,850,115,115,1,32,1
Phitsanulok2,MaeMoh4,0.021,1700,230,230,2,136,2
Phitsanulok2,NakhonSawan,0.02,1700,230,230,2,138,2
PhoneSoung,Nasaithong,0.105,850,115,115,1,26.7696,1
Phontong,Donkoi,0.196,850,115,115,1,14.3,1
Phontong,NongKhai,0.087,1000,115,115,2,35,2
Phontong,Thanaleng,0.187,850,115,115,1,15,1
Phrae,Uttaradit,0.062,1000,115,115,2,49,2
Phuket3,Phuket1,0.184,1200,115,115,3,17,2
Phuket3,Phuket2,0.184,1200,115,115,3,17,2
PrachinBuri2,SimahaPhot,0.191,1000,115,115,2,16,2
PrachinBuri2,WatthanaNakhon,0.047,1000,115,115,2,65,2
PrachuapKhiriKhan,BangSaphan,0.033,1000,115,115,2,92,2
PranBuri,PrachuapKhiriKhan,0.046,850,115,115,1,61,1
PTTOlefins,Rayong3,0.255,850,115,115,1,11,1
RajjaprabhaDam,Pangnga2,0.035,1250,115,115,3,67,2
RajjaprabhaDam,SuratThani,0.069,1700,230,230,2,41,2
Rangsit,ChaengWatthana,0.039,3400,500,500,2,64,2
Ranong,TakuaPa,0.027,850,115,115,1,104,1
Ratchaburi1,BanPong1,0.07,850,115,115,1,40,1
Ratchaburi1,Ratchaburi2,0.102,1000,115,115,2,30,2
Ratchaburi1,SamutSongkhram,0.082,850,115,115,1,34,1
Ratchaburi2,BanPong2,0.038,1700,230,230,2,74,2
Ratchaburi2,HuaHin,0.03,1700,230,230,2,94,2
Ratchaburi2,Ratchaburi3,0.072,1700,230,230,2,39,2
Ratchaburi3,SamPhran1,0.166,1050,230,230,1,17,2
Ratchaburi3,SamutSakhon1,0.204,1000,115,115,2,15,2
Ratchaburi3,SamutSakhon3,0.166,1050,230,230,1,17,2
Ratchaburi3,SamutSakhon4,0.204,1000,115,115,2,15,2
Ratchaburi,Ratchaburi3,0.282,1700,230,230,2,10,2
RatchaburiThermal,BanPong1,0.282,1700,230,230,2,10,2
Ratchadaphisek,LatPhrao,0.128,1700,230,230,2,22,2
Rayong1,Klaeng,0.057,1050,115,115,1,49,1
Rayong2,BanKhai,0.059,3400,230,230,4,48,2
Rayong2,Rayong1,0.094,3400,230,230,2,30,2
Rayong2,Rayong3,0.153,1000,115,115,2,20,2
Rayong3,Klaeng,0.051,1000,115,115,2,60,2
Rayong3,Rayong1,0.305,1000,230,230,2,30,2
Rayong3,Sattahip1,0.087,1000,115,115,2,35,2
Rayong,Rayong2,0.094,1700,230,230,2,30,2
RoiEt2,KhonKaen3,0.019,1700,230,230,2,145,2
RoiEt2,MahaSarakham,0.08,850,115,115,1,35,1
RoiEt2,RoiEt,0.039,1000,230,230,2,15,2
RoiEt2,Somdet,0.112,850,115,115,1,25,1
RoiEt2,Surin,0.019,1700,230,230,2,151,2
RoiEt2,Yasothon,0.049,1700,230,230,2,57,2
RoiEt,Kalasin,0.06,1000,115,115,2,51,2
Sadao,ChiupingMalaysia,0.076,850,132,132,1,38,2
SaiNoi,BangkokNoi,0.039,3400,500,500,2,64,2
SaiNoi,ChomBueng,0.02,1700,500,500,1,124,2
SaiNoi,Rangsit,0.039,3400,500,500,2,64,2
SakonNakhon,Kalasin,0.03,850,115,115,1,94,1
SakonNakhon,SakonNakhon2,0.127,1000,115,115,2,24,2
SakonNakhon,Thakhek,0.055,850,115,115,1,51,1
SakonNakhon,ThatPhanom,0.037,850,115,115,1,76,1
Salokbat,NakhonSawan,0.082,850,115,115,1,34,1
SamPhran1,BangkokNoi,0.166,1700,230,230,2,17,2
SamPhran2,SamPhran1,0.204,1000,115,115,2,15,2
SamutSakhon1,SamPhran1,0.187,850,115,115,1,15,1
SamutSakhon1,SamutSakhon3,0.187,850,115,115,1,15,1
SamutSakhon3,SamPhran1,0.166,1050,230,230,1,17,2
SamutSongkhram,SamutSakhon4,0.165,850,115,115,1,17,1
Saraburi2,PakChong,0.1,850,115,115,1,28,1
Saraburi2,Saraburi3,0.14,850,115,115,1,20,1
Saraburi2,SiKhiu,0.05,850,115,115,1,56,1
Saraburi4,NakhonNayok,0.072,850,115,115,1,39,1
Sattahip1,Sattahip2,0.235,1000,115,115,2,13,2
SimahaPhot,PrachinBuri1,0.047,850,115,115,1,59,1
SimahaPhot,WatthanaNakhon,0.039,850,115,115,1,71,1
SingBuri,Thalan3,0.034,1050,230,230,1,83,2
SiRacha,BanBueng,0.085,850,115,115,1,33,1
SirikitDam,Phitsanulok2,0.025,1700,230,230,2,111,2
SirikitDam,Uttaradit,0.062,1000,115,115,2,49,2
Sirindhorn,BangYo,0.046,850,115,115,1,61,1
Sirindhorn,UbonRatchathani1,0.054,1000,115,115,2,57,2
Songkhla2,HatYai2,0.113,1700,230,230,2,25,2
SouthBangkokCC,SouthBangkok,0.282,1700,230,230,2,10,2
SouthBangkokCC,Theparak,0.128,1700,230,230,2,22,2
SouthBangkok,SouthThonBuri,0.128,2550,230,230,3,22,2
SouthThonBuri,BangkokNoi,0.128,2550,230,230,3,22,2
SrinagarindDam,BanPong2,0.032,2550,230,230,3,89,2
SrinagarindDam,Kanchanaburi2,0.039,1050,230,230,1,73,2
SrinagarindDam,ThungNaDam,0.05,850,115,115,1,56,1
SrirachaRefinery,SiRacha,0.215,850,115,115,1,13,1
Sukhothai,Phitsanulok2,0.104,850,115,115,1,27,1
Sukhothai,Sawankhalok,0.042,850,115,115,1,66,1
SuratThani,BanDon,0.08,1000,115,115,2,38,2
SuratThani,Phunphin,0.139,1000,115,115,2,22,2
Surin2,Surin,0.147,850,115,115,1,19,1
Tak1,Kamphaengphet,0.045,850,115,115,1,62,1
Tak1,Sukhothai,0.045,850,115,115,1,62,1
Tak1,Tak2,0.078,850,115,115,1,36,1
Tak2,NakhonSawan,0.018,1700,230,230,2,157,2
Takhli2,HuaWat,0.099,1000,115,115,2,31,2
Takhli2,SingBuri,0.1,850,115,115,1,28,1
TakuaPa,Pangnga2,0.057,850,115,115,1,49,1
TakuaPa,SuratThani,0.03,850,115,115,1,92,1
Thakhek,NakhonPhanom,0.297,800,115,115,2,10.3,2
Thakhek,NakhonPhanom2,0.094,1700,230,230,2,30,2
Thalan1,AngThong2,0.055,850,115,115,1,51,1
Thalath,PhoneSoung,0.162,850,115,115,1,17.3,1
Thanaleng,NongKhai,0.112,850,115,115,1,25,1
ThaTako,AngThong1,0.018,1700,230,230,2,158,2
ThaTako,AngThong2,0.021,1700,230,230,2,136,2
ThaTako,BangMunNak,0.056,850,115,115,1,50,1
ThaTako,Chaiyaphum1,0.016,1700,230,230,2,172,2
ThaTako,HuaWat,0.153,1000,115,115,2,20,2
ThaTako,Phachi2,0.015,5100,500,500,3,162,2
ThaTako,SingBuri,0.043,1700,230,230,2,65,2
ThaTako,Thalan3,0.022,1700,230,230,2,128,2
ThatPhanom,Mukdahan,0.06,850,115,115,1,47,1
ThaWung,LopBuri1,0.102,1000,115,115,2,30,2
ThaWung,SingBuri,0.255,850,115,115,1,11,1
TheunHinboun,BanVean,0.034,1700,230,230,2,54.5,2
ThungNaDam,Kanchanaburi2,0.1,850,115,115,1,28,1
ThungSong,KhlongNgae,0.015,1700,230,230,2,183,2
ThungSong,NakhonSiThammarat,0.058,1700,230,230,2,49,2
ThungSong,SuratThani,0.022,1700,230,230,2,127,2
UbolratanaDam,KhonKaen1,0.021,850,115,115,1,135,1
UbolratanaDam,NamPhong1,0.024,850,115,115,1,119,1
UbonRatchathani1,AmnatCharoen,0.038,850,115,115,1,73,1
UbonRatchathani2,Kantharalak,0.048,850,115,115,1,58,1
UbonRatchathani2,SiSaKet,0.043,1000,115,115,2,71,2
UbonRatchathani2,UbonRatchathani1,0.161,1000,115,115,2,19,2
UdonThani1,NamPhong1,0.036,1000,115,115,2,86,2
UdonThani1,NongBuaLamPhu,0.057,850,115,115,1,49,1
UdonThani1,UdonThani3,0.048,1000,115,115,2,64,2
UdonThani2,NamPhong1,0.041,1000,115,115,2,75,2
UdonThani2,NongBuaLamPhu,0.066,1000,115,115,2,46,2
UdonThani2,NongKhai,0.073,1000,115,115,2,42,2
UdonThani2,UdonThani3,0.133,1000,115,115,2,23,2
UdonThani3,NamPhong1,0.026,3400,500,500,2,97,2
UdonThani3,PhangKhon,0.035,1000,115,115,2,88,2
Uttaradit,Sawankhalok,0.056,850,115,115,1,50,1
UWCKomen,Khong,0.14,850,115,115,1,20,1
VajiralongkornDam,SrinagarindDam,0.026,1700,230,230,2,108,2
WangNoi,NongChok,0.039,3400,500,500,1,64,2
WangNoi,PluakDaeng,0.016,3400,500,500,2,156,2
WangNoi,SaiNoi,0.038,1700,500,500,1,65,2
WatthanaNakhon,Banteay_Meanchay,0.719,1000,115,115,2,4,1
Xeset1,Sirindhorn,0.039,850,115,115,1,71,1
Xeset1,Xeset2,0.043,1000,115,115,2,71,2
Yala2,Narathiwat,0.058,850,115,115,1,48,1
Yala,Narathiwat,0.07,850,115,115,1,40,1
Yala,Yala2,0.18,1000,115,115,2,17,2
Yasothon,AmnatCharoen,0.059,1000,115,115,2,52,2
Yasothon,RoiEt,0.065,1000,115,115,2,47,2
Yasothon,SiSaKet,0.038,1000,115,115,2,81,2
Yasothon,UbonRatchathani1,0.054,850,115,115,1,52,1
PowerProspect1,Ayutthaya1,1,9999,750,750,2,1,4
Rojana1Sc1,Ayutthaya1,1,9999,750,750,2,1,4
AyuthayaMill1,Ayutthaya2,1,9999,750,750,2,1,4
WangNoi1Sc1,WangNoi,1,9999,750,750,2,1,4
WangNoi2Sc1,WangNoi,1,9999,750,750,2,1,4
Bangchakrefineryu1,BangchakRefinery,1,9999,750,750,2,1,4
LatKrabangSc1,BangchakRefinery,1,9999,750,750,2,1,4
Bangbo,BangKapi,1,9999,750,750,2,1,4
SamutprakarnSc1,BangKapi,1,9999,750,750,2,1,4
BangkokHsfcPlant1,BangkokNoi,1,9999,750,750,2,1,4
NongKhaem1,BangkokNoi,1,9999,750,750,2,1,4
TorayNylonIc5,BangkokNoi,1,9999,750,750,2,1,4
SLACK_BangkokNoi,BangkokNoi,1,9999,750,750,2,1,4
Bangpakongu1,BangPakong,1,9999,750,750,2,1,4
Bangpakongu2,BangPakong,1,9999,750,750,2,1,4
Bangpakongu3,BangPakong,1,9999,750,750,2,1,4
Bangpakongu4,BangPakong,1,9999,750,750,2,1,4
BangPakongCc1Sc1,BangPakong,1,9999,750,750,2,1,4
Bowinpowercc1,BoWin,1,9999,750,750,2,1,4
Bowinpowercc2,BoWin,1,9999,750,750,2,1,4
BanBueng1,ChonBuri2,1,9999,750,750,2,1,4
AmataNakorn2BSc1,ChonBuri2,1,9999,750,750,2,1,4
Bpwha1Sc1,ChonBuri,1,9999,750,750,2,1,4
SabcoBiomass1,Chumphon,1,9999,750,750,2,1,4
KaengKhoiFactory,GulfJPNS,1,9999,750,750,2,1,4
Gulfjpns,GulfJPNS,1,9999,750,750,2,1,4
Gulfjput,GulfJPUT,1,9999,750,750,2,1,4
Kaengkhoi2U1,KaengKhoi2,1,9999,750,750,2,1,4
Kaengkhoi2U2,KaengKhoi2,1,9999,750,750,2,1,4
VajiralongkornIc,Kanchanaburi,1,9999,750,750,2,1,4
WangSalaMill1,Kanchanaburi2,1,9999,750,750,2,1,4
WangSalaMill2,Kanchanaburi2,1,9999,750,750,2,1,4
Khanomcc,Khanom,1,9999,750,750,2,1,4
LampangCementPlant1,Lampang1,1,9999,750,750,2,1,4
Lankrabue,LanKrabu,1,9999,750,750,2,1,4
Maehongson,MaeHongSon,1,9999,750,750,2,1,4
ChiangMaiWte1,MaeTaeng,1,9999,750,750,2,1,4
Chiangmaifangu1,MaeTaeng,1,9999,750,750,2,1,4
Nakhonpathom,NakhonPathom,1,9999,750,750,2,1,4
AmpharSampran1,NakhonPathom,1,9999,750,750,2,1,4
KampaengsaenWestIc1,NakhonPathom,1,9999,750,750,2,1,4
AmpharSampranIc1,NakhonPathom,1,9999,750,750,2,1,4
KoratGt1,NakhonRatchasima1,1,9999,750,750,2,1,4
CrbChangRaek1,NakhonSiThammarat,1,9999,750,750,2,1,4
ThungSongCement1,NakhonSiThammarat,1,9999,750,750,2,1,4
Maptaphutu1,NikomMapTaPhut,1,9999,750,750,2,1,4
Maptaphutu2,NikomMapTaPhut,1,9999,750,750,2,1,4
NongChokGt3,NongChok,1,9999,750,750,2,1,4
SLACK_NongChok_230,NongChok,1,9999,750,750,2,1,4
Northbangkok,NorthBangkok,1,9999,750,750,2,1,4
PhetchaburiPalmOil1,Phetchaburi,1,9999,750,750,2,1,4
PhuketNew1,Phuket1,1,9999,750,750,2,1,4
PrachinBuriMillGt5,PrachinBuri1,1,9999,750,750,2,1,4
PrachinBuriMill4,PrachinBuri1,1,9999,750,750,2,1,4
PrachuapSugarMill1,PrachuapKhiriKhan,1,9999,750,750,2,1,4
Pttolefinsu1,PTTOlefins,1,9999,750,750,2,1,4
RangsitFactoryIc3,Rangsit,1,9999,750,750,2,1,4
SLACK_Rangsit,Rangsit,1,9999,750,750,2,1,4
PathumThaniCrnSc1,Rangsit,1,9999,750,750,2,1,4
RajburiSugarMill1,Ratchaburi,1,9999,750,750,2,1,4
BanPongSki1,Rangsit,1,9999,750,750,2,1,4
Ratchaburipoweru1,Ratchaburi,1,9999,750,750,2,1,4
Ratchaburipoweru2,Ratchaburi,1,9999,750,750,2,1,4
Ratchaburiccu1,Ratchaburi,1,9999,750,750,2,1,4
Ratchaburiccu2,Ratchaburi,1,9999,750,750,2,1,4
Ratchaburiu3,RatchaburiThermal,1,9999,750,750,2,1,4
Ratchaburiu1,RatchaburiThermal,1,9999,750,750,2,1,4
Ratchaburiu2,RatchaburiThermal,1,9999,750,750,2,1,4
RatchaburiPower1Sc1,Ratchaburi3,1,9999,750,750,2,1,4
Ratcharburitrienergy,RatchaburiThermal,1,9999,750,750,2,1,4
PatumRiceMill1,Rayong,1,9999,750,750,2,1,4
GlowSppPhase4No1,Rayong,1,9999,750,750,2,1,4
Ghecoone,GhecoOne,1,9999,750,750,2,1,4
