source,sink,linesus,linemva
Songkhla2,HatYai2,0.113,1700
SouthBangkokCC,SouthBangkok,0.282,1700
SouthBangkokCC,Theparak,0.128,1700
SouthBangkok,SouthThonBuri,0.128,2550
SouthThonBuri,BangkokNoi,0.128,2550
SrinagarindDam,BanPong2,0.032,2550
SrinagarindDam,Kanchanaburi2,0.039,1050
SrinagarindDam,ThungNaDam,0.05,850
SrirachaRefinery,SiRacha,0.215,850
Sukhothai,Phitsanulok2,0.104,850
Sukhothai,Sawankhalok,0.042,850
SuratThani,BanDon,0.08,1000
SuratThani,Phunphin,0.139,1000
Surin2,Surin,0.147,850
Tak1,Kamphaengphet,0.045,850
Tak1,Sukhothai,0.045,850
Tak1,Tak2,0.078,850
Tak2,NakhonSawan,0.018,1700
Takhli2,HuaWat,0.099,1000
Takhli2,SingBuri,0.1,850
TakuaPa,Pangnga2,0.057,850
TakuaPa,SuratThani,0.03,850
Thakhek,NakhonPhanom,0.297,800
Thakhek,NakhonPhanom2,0.094,1700
Thalan1,AngThong2,0.055,850
Thalath,PhoneSoung,0.162,850
Thanaleng,NongKhai,0.112,850
ThaTako,AngThong1,0.018,1700
ThaTako,AngThong2,0.021,1700
ThaTako,BangMunNak,0.056,850
ThaTako,Chaiyaphum1,0.016,1700
ThaTako,HuaWat,0.153,1000
ThaTako,Phachi2,0.015,5100
ThaTako,SingBuri,0.043,1700
ThaTako,Thalan3,0.022,1700
ThatPhanom,Mukdahan,0.06,850
ThaWung,LopBuri1,0.102,1000
ThaWung,SingBuri,0.255,850
TheunHinboun,BanVean,0.034,1700
ThungNaDam,Kanchanaburi2,0.1,850
ThungSong,KhlongNgae,0.015,1700
ThungSong,NakhonSiThammarat,0.058,1700
ThungSong,SuratThani,0.022,1700
UbolratanaDam,KhonKaen1,0.021,850
UbolratanaDam,NamPhong1,0.024,850
UbonRatchathani1,AmnatCharoen,0.038,850
UbonRatchathani2,Kantharalak,0.048,850
UbonRatchathani2,SiSaKet,0.043,1000
UbonRatchathani2,UbonRatchathani1,0.161,1000
UdonThani1,NamPhong1,0.036,1000
UdonThani1,NongBuaLamPhu,0.057,850
UdonThani1,UdonThani3,0.048,1000
UdonThani2,NamPhong1,0.041,1000
UdonThani2,NongBuaLamPhu,0.066,1000
UdonThani2,NongKhai,0.073,1000
UdonThani2,UdonThani3,0.133,1000
UdonThani3,NamPhong1,0.026,3400
UdonThani3,PhangKhon,0.035,1000
Uttaradit,Sawankhalok,0.056,850
UWCKomen,Khong,0.14,850
VajiralongkornDam,SrinagarindDam,0.026,1700
WangNoi,NongChok,0.039,3400
WangNoi,PluakDaeng,0.016,3400
WangNoi,SaiNoi,0.038,1700
WatthanaNakhon,Banteay_Meanchay,0.719,1000
Xeset1,Sirindhorn,0.039,850
Xeset1,Xeset2,0.043,1000
Yala2,Narathiwat,0.058,850
Yala,Narathiwat,0.07,850
Yala,Yala2,0.18,1000
Yasothon,AmnatCharoen,0.059,1000
Yasothon,RoiEt,0.065,1000
Yasothon,SiSaKet,0.038,1000
Yasothon,UbonRatchathani1,0.054,850
