date,hour,KAMPONGCHAMGTS,KAMPOTCPP,KEANSVAY,SIHANOUKVILLECIIDG,SIHANOUKVILLESTUNGHAV,SIHANOUKVILLE,SIHANOUKVILLECOLBEN,KHANDANGKOR,PHUMTRORCPGC,PPSEZPLANT,CENTRALE2,CENTRALE2CUPL,KHANMEANCHAY,CENTRALE3,CENTRALE5,CENTRALE6,KHANRUSSEYKEOCOLBEN,SIEMRIEP
2016-12-21,22,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-21,23,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-21,24,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,1,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,2,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,3,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,4,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,5,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,6,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,7,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,8,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,9,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,10,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,11,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,12,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,13,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,14,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,15,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,16,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,17,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,18,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,19,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,20,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,21,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,22,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,23,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-22,24,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-23,1,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-23,2,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-23,3,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-23,4,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-23,5,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-23,6,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-23,7,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-23,8,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-23,9,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-12-23,10,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
